open,high,low,close,volume,sma,ema,macd,macd_signal,rsi,stoch_k,stoch_d,bb_upper,bb_middle,bb_lower,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,stoch_rsi_k,stoch_rsi_d,volume_ema,volume_sma,volume_bb_upper,volume_bb_middle,volume_bb_lower
226.5,226.5,223.5,225.0,23764776,228.75,227.99058751299313,-1.9857449137737433,-2.372381633375131,40.796278319560244,13.636363636363637,30.303030303030294,234.37482057182004,227.5,220.62517942817996,228.5,227.25,241.0,246.0,45.92770023179194,60.20150125525981,22493559.043892693,21535434.85714286,40131318.17373788,24796796.95,9462275.726262111
224.0,224.0,220.5,221.0,49163788,228.14285714285714,227.0585091779274,-2.381385525731048,-2.3741824118463146,35.530444532282836,3.5714285714285716,16.341991341991335,234.60087713955255,227.4,220.19912286044746,227.0,227.25,239.125,243.25,23.696955077791703,44.337060103664726,26049589.571373668,23080678.5,43269630.12178745,25346589.25,7423548.378212549
221.5,224.0,220.5,224.0,96069458,227.5,226.65070795420377,-2.4249058282533156,-2.384327095127715,41.61709354803142,25.0,14.069264069264065,234.2183583770785,227.575,220.9316416229215,227.0,227.25,239.125,243.25,21.517910310751162,30.380855206778264,35385572.02852385,27750360.5,64926618.534516186,28565525.6,-7795567.334516183
224.5,226.5,224.0,224.0,27617994,226.85714285714286,226.29728022697662,-2.431368676916037,-2.3937354114853795,41.61709354803141,25.925925925925927,18.165784832451497,234.1371344225089,227.625,221.1128655774911,227.0,227.25,237.5,242.5,31.4236075151275,25.54615763455679,34349894.958054006,28300114.57142857,64944327.56762536,28585989.2,-7772349.167625364
227.5,229.0,227.0,229.0,25959480,226.75,226.65764286337975,-2.009863858325133,-2.31696110085333,50.62719184219709,65.38461538461539,38.770180436847106,234.13740836869596,227.9,221.66259163130405,226.0,227.25,235.5,241.0,64.75694084846083,39.232819558113164,33231172.963646807,28456379.64285714,65015878.77794497,28720525.25,-7574828.277944967
230.0,230.0,226.5,229.0,26534884,226.64285714285714,226.96995714826247,-1.6567206089069089,-2.184913002464046,50.62719184219709,65.38461538461539,52.231718898385566,234.20678578992727,227.95,221.6932142100727,225.25,227.25,235.375,241.0,84.39192011503847,60.19082282620894,32338334.43516057,29322474.5,63919853.55175659,28031031.3,-7857790.951756593
229.0,230.0,227.0,230.0,24767441,226.89285714285714,227.37396286182747,-1.2813893381785704,-2.004208269606951,52.33349611918658,73.07692307692308,67.94871794871796,234.2617864772481,227.975,221.68821352275188,225.25,227.25,235.375,240.5,100.0,83.04962032116643,31328881.97713916,29173524.785714287,63391622.82489868,27580456.65,-8230709.5248986855
231.0,231.5,228.0,230.0,24958266,227.35714285714286,227.72410114691712,-0.9727236492811357,-1.797911345541788,52.33349611918658,73.07692307692308,70.51282051282051,234.31622805494615,228.0,221.68377194505385,226.0,227.25,235.25,240.0,100.0,94.79730670501283,30479466.513520606,28980219.42857143,63282243.363708414,27451851.1,-8378541.163708411
229.0,229.0,226.0,227.0,23548851,227.21428571428572,227.6275543273282,-0.9591226263639783,-1.6301536017062264,46.716206209463465,50.0,65.38461538461539,233.57053301623625,227.7,221.82946698376372,226.0,227.5,230.625,239.5,88.85660762139734,96.28553587379912,29555384.445051193,29510293.42857143,62931364.5304327,27094598.15,-8742168.230432704
226.5,227.0,225.0,226.0,21696933,227.0,227.41054708368443,-1.0173084616697565,-1.5075845736989326,44.9829665741284,50.0,57.6923076923077,232.7018319539332,227.35,221.99816804606678,226.0,227.5,229.75,239.5,74.27487226013083,87.71049329384273,28507590.919044368,29463281.714285713,62954056.61182295,27183372.95,-8587310.711822953
225.0,229.0,224.0,229.0,29501260,227.03571428571428,227.62247413919317,-0.8119861564344717,-1.3684648902460406,50.8717826328461,77.27272727272727,59.090909090909086,232.48101878395863,227.275,222.06898121604138,226.0,227.5,229.75,239.5,71.37517379607381,78.16888455920066,28640080.12983845,29923164.64285714,63217253.15123553,27469847.5,-8277558.151235528
229.0,232.0,228.0,232.0,28944970,227.25,228.20614425396744,-0.4025514596668529,-1.1752822041302031,55.9494771653696,100.0,75.75757575757575,232.78962072981133,227.35,221.91037927018866,228.0,227.5,229.5,239.5,82.51856617467645,76.05620407696036,28680732.11252666,31062333.214285713,63413111.52669625,28196618.2,-7019875.126696248
230.0,230.0,226.5,226.5,33408041,227.10714285714286,227.97865835343845,-0.5159282475592306,-1.0434114128160086,46.46728085301611,52.17391304347826,76.48221343873517,232.78962072981133,227.35,221.91037927018866,228.0,227.5,230.375,239.5,81.6209585087115,78.50489949315391,29311039.964189775,32307815.14285714,63810166.94248252,28524383.4,-6761400.142482527
225.0,231.0,224.0,231.0,48059679,227.39285714285714,228.38150390631333,-0.2399023321181346,-0.8827095966764339,53.4226779927836,91.30434782608695,81.15942028985506,233.0805185507429,227.725,222.36948144925708,228.0,227.5,230.375,239.5,80.39574857971763,81.51175775436853,31810858.502297804,34571130.071428575,65888259.73603158,29544140.3,-6799979.136031579
225.5,226.0,224.0,225.0,56889624,227.39285714285714,227.9306367188049,-0.4995412606800187,-0.8060759294771509,45.023035187757884,39.130434782608695,60.86956521739129,232.97790844653557,227.525,222.07209155346445,228.0,227.5,230.75,239.5,62.55872666336652,74.85847791726522,35154693.901991434,36937190.64285714,69304073.57513928,31582230.75,-6139612.075139277
224.5,227.5,223.5,226.0,40708701,227.75,227.6732184896309,-0.6174972159842866,-0.7683601867785781,46.531943985471244,47.82608695652174,59.42028985507246,232.82211415628146,227.375,221.92788584371854,227.75,227.25,230.875,239.5,56.135378481333554,66.3632845748059,35895228.18172591,36333255.85714286,70169562.27524348,32499910.95,-5169740.375243481
227.5,228.0,226.0,226.5,31242557,227.92857142857142,227.5167893576801,-0.6629898052855197,-0.7472861104799665,47.31062567123303,35.294117647058826,40.750213128729754,232.70857011646203,227.275,221.84142988353798,227.75,227.0,230.875,239.5,40.16860330244423,52.95423614904811,35274872.02416246,31702762.92857143,70323894.7854453,32908893.85,-4506107.085445307
224.5,227.5,224.0,227.5,43581409,228.17857142857142,227.5145507766561,-0.6113046281820971,-0.7200898140203926,48.91309539998458,47.05882352941177,43.39300937766411,232.57440327164778,227.2,221.8255967283522,227.75,227.0,231.0,239.5,36.618142218186556,44.30737466732145,36382410.28760746,32843006.85714286,70914724.52324405,34438133.8,-2038456.9232440665
220.0,220.5,218.0,218.0,45025211,227.39285714285714,226.2459440064353,-1.321678866882479,-0.8404076245928099,37.30538411428242,0.0,27.450980392156865,233.39711589495786,226.675,219.95288410504216,225.0,225.75,231.125,239.5,25.18750009411765,33.991415204916144,37534783.71592647,34204844.78571428,71576381.68158558,35890829.65,205277.61841440946
215.5,216.0,212.5,214.5,38446346,226.35714285714286,224.6798181389106,-2.142380291882688,-1.1008021580507856,34.09510627385903,10.256410256410257,19.10507792860734,234.69443843112177,226.05,217.40556156887826,222.25,223.0,231.625,239.5,11.945850332724538,24.58383088167625,37656325.35380294,35055663.5,71483728.02204466,36994483.45,2505238.8779553473
216.0,216.0,212.5,213.0,39888414,225.14285714285714,223.12250905372252,-2.880623513271644,-1.4567664290949573,32.79267202342116,2.5641025641025643,4.273504273504273,235.88223748518737,225.45,215.0177625148126,221.75,223.0,231.0,239.5,0.0,12.377783475614061,37953937.173295885,36135733.0,71737182.08240515,37800665.35,3864148.6175948605
211.0,214.5,210.0,212.0,37940780,223.85714285714286,221.63950784655952,-3.505963660932281,-1.8666058754624222,31.917318308676712,9.090909090909092,7.303807303807304,236.91195772499572,225.0,213.08804227500428,220.5,221.0,230.625,239.5,0.0,3.9819501109081794,37952182.8835231,37063055.428571425,70753425.11150777,37239514.95,3725604.7884922363
212.0,217.0,212.0,216.5,34313680,223.10714285714286,220.95424013368495,-3.596974162251229,-2.2126795328201836,39.71575891358023,29.545454545454547,13.733488733488734,237.1271050859016,224.625,212.1228949140984,219.0,221.0,230.625,239.5,10.816673679362586,3.605557893120862,37467049.16572002,37831971.78571428,53025404.926365584,34151726.05,15278047.17363441
218.5,219.0,214.0,214.0,32449442,222.25,220.0270081158603,-3.8267177269625847,-2.535487171648664,37.16858103196553,18.181818181818183,18.93939393939394,237.501629266235,224.125,210.748370733765,219.0,221.0,230.625,239.5,18.100334370026886,9.639002683129824,36798034.87695736,38600008.14285714,53037139.28455842,34393298.45,15749457.615441583
215.5,218.0,213.5,214.5,28323220,221.21428571428572,219.29007370041225,-3.923220887611535,-2.8130339148412387,38.02469145734885,20.454545454545453,22.72727272727273,237.22827005201867,223.4,209.57172994798134,219.0,221.0,230.5,239.5,26.571446190222005,18.496151413203826,35668059.56002971,38515862.428571425,52959152.54231887,34511485.45,16063818.357681133
217.0,217.5,215.5,216.0,15212295,220.07142857142858,218.85139720702398,-3.8344615874064516,-3.0173194493542814,40.63786566738782,28.571428571428573,22.402597402597404,236.69160754908157,222.75,208.80839245091843,218.75,221.0,227.875,239.5,29.27163138822392,24.64780398282427,32940624.28535908,37534957.071428575,54044717.23995748,33945356.0,13845994.760042515
